humilier|모욕하다, 망신을 주다
épuiser|다 써버리다
retirer ses chaussures|신발을 벗다
étonné|놀란
mélange|혼합
supplier|간청하다
détenir|소지[보유]하다, 구금하다
attirer|끌어당기다, 매혹하다
en haut de|~의 위에
quartier général|본부, 사령부
briller|빛나다
avènement|도래
phénomène naturel|자연적 현상
reprendre haleine|숨을 돌리다
respirer profondément|숨을 깊게 들이마시다
un brin de|약간의, 소량의
ravager|강타하다, 황폐하게 하다
en hâte|급히, 서둘러
botanique|식물(학)의
ère de l'industrialisation|산업화 시대
en arrière|뒤로(backwards)
tailler un crayon|연필을 깎다
ancien|선배, 선배의
un peu plus de|남짓, 조금 넘게
formule publicitaire|광고 문구
se faire rembourser un produit|제품을 환불받다
ravi|황홀한
conforter, renforcer|(2) 강화하다
retraité|퇴직한, 퇴직자
vécu|경험한
rayonnement|빛남, 발현, 명성, 영향력
exécutif|행정부
garder des moutons|양떼를 지키다
décourager|낙담시키다
extermination|말살, 학살
métal précieux|귀금속
cuisiner, faire la cuisine|(2) 요리하다
déçu|실망한
élire|선출하다
principe fondamental|기본 원리
couloir|복도
carte universelle|세계지도
marque de luxe|럭셔리 브랜드
renommé|명성이 높은
futile|쓸데없는, 하찮은
banlieue|교외
bas de gamme|저가의
agression sexuelle|성폭행
éleveur|사육자, 주조업자
cultiver un don|재능을 키우다, 계발하다
maintenir|유지하다, 주장[고집]하다
faire en sorte que|~하도록 노력하다
embellir|장식하다, 아름답게 하다
se heurter à|~에 부딪히다
blesser|다치게 하다
remonter le temps|시간을 거슬러 올라가다
se refugier à|~에 망명하다
enterrer|묻다, ~의 장례를 치루다
semestre précédent|지난 학기
par excellence|대표적으로, 특히
débat orageux|격한 토론
sans cesse|끊임없이
militant|운동가, 전투적인
élu local|지방의원
licenciement collectif|집단해고
effectif|유효한, 실질적인; 인원
se retirer de|~에서 은퇴하다
domicile|주거, 주소
minable|초라한, 비참한
modeste|겸손한, 검소한, 초라한
l'un l'autre|서로(each other)
apprendre par cœur|암기하다
lâche|느슨한, 비겁한
faire exprès de|고의로 ~하다
sympathique|호감이 가는, 마음에 드는
issue|출구, 결과
attribuer qc à qn|~를 ~의 탓으로 여기다; ~를 ~에 할당하다
mesurer la hauteur|높이를 재다
en moyenne|평균적으로
périr|죽다, 없어지다
hygiène|위생
s'acquitter de ses dettes|채무를 이행하다
possession|소유, 소유물
dévêtir, déshabillier|(2) 옷을 벗기다
bilan|결산, 종합평가
drame sanglant|유혈 참사
controversé|논란이 되는
juriste|법학자, 법률가
organe législatif|입법기관
émettre|발하다, 발신하다, 방송하다
apparemment|겉보기에, 언뜻 보아
en faveur de|~를 찬성하는, 고려하여; ~에게 유리하게
témoin|증인, 목격자
industrie légère|경공업
politique libérale|자유주의 정책
déception|실망
arrivée|도착, 도래
ingéniosité|재주, 재능, 기발함
collier|목걸이
pister|뒤를 밟다, 미행하다
