account for|~을 차지하다, 설명하다
be accustomed to|~에 익숙하다
be used to|~에 익숙하다
adhere to|~에 집착하다, 고수하다
stick to|~에 집착하다, 고수하다
abstain from|~을 삼가다, 절제하다
all at once|갑자기
all of a sudden|갑자기
apart from|~과는 별도로
anything but|결코 ~가 아닌
nothing but|단지
as regards|~에 관해서
at a loss|어찌할 바를 몰라
at odds with|~와 뜻이 맞지 않는
cope with|~을 감당하다, ~에 대처하다
turn down|거절하다
turn out|~임이 판명되다
well off|유복한, 잘사는
with regard to|~에 관해서
concerning|~에 관해서
to the contrary|그와 반대로
try on|(옷을) 입어보다
take ~ into account|~을 고려하다
tell A from B|A와 B를 구별하다
take turns|번갈아하다, 교대하다
take place|발생하다, 일어나다
take the place|대신하다
take ~ for granted|~을 당연한 것으로 여기다
take A for B|A를 B로 착각하다
be subject to|~에 걸리기 쉽다, ~을 받기 쉬운
be supposed to|~할 예정이다, ~하기로 되어 있다
be sure of|~을 확신하다
be sure to|틀림없이 ~하다
short of|~이 부족한
show off|자랑하다, 허풍 떨다
stand for|~을 상징(대표)하다
stand in the way|방해가 되다
run out of|~이 고갈되다
set aside|제쳐두다, 비축하다
set about|~을 시작하다, 공격하다
rid A of B|A에게서 B를 제거하다
run across|우연히 만나다
rest on|~에 기대다, ~에 달려있다
run into|충돌하다
regardless of|~과는 관계(상관)없이
refrain from|~을 삼가다
put off|미루다, 연기하다
put up with|참다, 견디다
put out|끄다
rain cats and dogs|억수같이 비가 내리다
provided (that)|만약 ~라면
supposing that|만약 ~라면
out of the question|불가능한
out of question|의문의 여지가 없는
be possessed with|~에 사로잡혀 있다
on purpose|고의로
on the whole|대체로
on the ground of|~라는 이유(근거)로
now that ~|~이기 때문에
be obliged to ~|어쩔 수 없이 ~하다
be forced to ~|어쩔 수 없이 ~하다, 반드시 ~하다
on account of|~ 때문에
on behalf of|~을 대표해서
on good(bad) terms with|~와 사이가 좋다(나쁘다)
make up for|보상하다
compensate for|보상하다
manage to|가까스로(간신히) ~하다
none the less|그럼에도 불구하고
nevertheless|그럼에도 불구하고
make believe|~인 체 하다, 가장하다
make both ends meet|수지(수입&지출) 균형을 맞추다
make light of|가볍게 여기다, 경시하다
make much of|중요하게 여기다
make one's way|나아가다, 출세하다
make a fortune|재산을 모으다
lose one's temper|화를 내다
look upon A as B|A를 B로 간주하다
regard A as B|A를 B로 간주하다
let alone|~은 말할 것도 없이
leave out|생략하다
let go|풀어주다, 놓아주다
learn ~ by heart|암기하다
keep one's word|약속을 지키다
do good|이익을 주다
do harm|해를 끼치다
in the long run|결국에는, 마침내
in terms of|~의 면에서, ~에 의해서
into the bargain|덤으로, 또한
in want of|~이 부족하여, ~이 결핍되어
in vain|헛되이
in spite of|~에도 불구하고
despite|~에도 불구하고
in favor of|~에 찬성하여, 지지해서
in advance|미리, 앞서서
have one's own way|마음대로 하다
in a sense|어떤 의미에서
hit on|갑자기 (생각이) 떠오르다
ill at ease|불편해하는
give rise to|~을 일으키다, 낳다, 발생시키다
give way|무너지다, 항복하다, 양보하다
have done with|~을 끝내다
have nothing to do with|~과 관계가 없다
have an ear for|~을 보는 눈이 있다, 심미안이 있다
from hand to mouth|하루 벌어 하루 먹는 식으로
furnish A with B|A에게 B를 제공하다
get in one's way|방해가 되다
get on with|~와 잘 지내다
get through|통과하다, 끝마치다
go through|겪다, 경험하다
get rid of|~를 제거하다
do away with|~를 제거하다, 폐지하다
get the better of|~을 이기다(능가하다)
for the sake of|~을 위하여
free from|~이 없는
for the time being|당분간
for want of|~이 부족하여, 결핍되어서
fall short of|~이 부족하다
first of all|무엇보다도
above all|무엇보다도
for ages|오랫동안
dwell on|곰곰이 생각하다
think over|곰곰이 생각하다
do without|~ 없이 지내다
count on|~에 의존하다, ~에 달려있다
rely on|~에 의존하다, ~에 달려있다
consist in|~에 놓여 있다, 달려있다
lie in|~에 놓여 있다, 달려있다
consist of|~으로 이루어져 있다, 구성되다
be composed of|~으로 이루어져 있다, 구성되다
come up with|~을 고안해 내다, 생각해 내다
correspond to|~과 일치하다
correspond with|~과 왕래(서신교환)하다
dispense with|~없이 지내다
dispose of|~을 처리(처분)하다
by means of|~의 도움으로, ~을 써서
by no means|결코 ~가 아니다
call off|취소하다
catch up with|~을 따라잡다, 체포하다
be bound to ~|반드시 ~하다
before long|곧
behind the times|시대에 뒤떨어진
attribute A to B|A를 B의 탓으로 돌리다, A는 B 때문이다
avail oneself of|~을 이용하다
by all means|무슨 수를 쓰더라도
by accident|우연히
break out|발발(발생)하다
bring up|양육하다, 키우다
raise, rear|양육하다, 키우다
bring about|야기시키다, 초래하다
at hand|가까이에 있는
at the mercy of|~에 좌우되어
at once|즉시
in view of|~의 관점(견지)에서
make allowances for|~을 감안하다
make fun of|조롱하다
make the best of|~을 최대한 이용하다
off duty|비번의, 근무가 없는
on duty|근무 중
on the contrary|그와는 반대로
out of order|고장난, 정리가 안 된
put into practice|실행에 옮기다
put ~ to use|~을 이용하다
feel like ~ing|~하고 싶다
feel inclined to ~|~하고 싶다
run a risk|위험을 무릅쓰다
rule out|배제시키다
to say nothing of|~은 말할 것도 없이
not to mention|~은 말할 것도 없이
set out|시작하다, 개시하다
safe and sound|무사히
second to none|최고의
so to speak|말하자면
as it were|말하자면
take a break|휴식을 취하다
sum up|요약하다
take charge of|~을 떠맡다, 책임지다
take part in|~에 참가하다
take notice of|~을 알아차리다, 주의하다
take one's time|여유를 가지다, 느긋하게 하다
without fall|틀림없이
take account of|~을 고려하다
stand out|두드러지다, 뛰어나다
so far|이제까지
sooner or later|조만간에
rob A of B|A에게서 B를 강탈하다
remind A of B|A에게서 B를 상기시키다
prior to|~보다 이전에
picture to oneself|상상하다, (마음속에) 그려보다
one after another|차례로
one after the other|교대로
by turns|교대로
on the other hand|반면에
on the spot|현장에서, 즉석에서
of service|쓸모 있는, 유익한
more often than not|자주, 대개
quite a few|많은 (수)
look up to|존경하다
look down on|무시하다
long for|~을 갈망하다, 동경하다
lay aside|~을 제쳐놓다, 따로 놓아두다
in time|조만간에, 얼마 안 있어
on time|정각에
in short|간단히 말해
in brief|간단히 말해
in regard to|~에 관해
in no time|당장에, 곧
in accordance with|~에 따라서
have to do with|~과 관계가 있다
have nothing to do with|~과 관계가 없다
hold good|유효하다, 적용되다
hand over|넘겨주다, 이양하다, 양도하다
get over|극복하다
for nothing|공짜로
free of charge|공짜로
far from|결코 ~가 아닌
